Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jul 25, 2022;Jul 26, 2022;309.81;277.21;294.86;263.13;220.75;373.05;289.61;263.44;385.55;189.84;10.94;396.49;361.62;-;552.13;467.06;510.22
Jul 26, 2022;Jul 27, 2022;316.57;288.36;327.69;165.64;90.51;532.25;315.12;209.79;443.04;260.88;7.13;436.31;383.57;-;555.32;482.33;500.92
Jul 27, 2022;Jul 28, 2022;424.49;327.65;381.27;233.71;143.12;529.62;374.09;265.95;465.78;235.59;82.42;468.39;424.26;-;534.70;488.09;506.88
Jul 28, 2022;Jul 29, 2022;473.25;422.73;412.38;455.07;463.83;534.68;425.46;423.73;497.53;271.14;161.27;520.97;483.96;-;567.53;513.48;513.31
Jul 29, 2022;Jul 30, 2022;438.65;402.37;385.83;437.70;437.70;499.49;396.99;415.81;477.14;261.84;176.39;483.87;453.28;-;519.87;486.16;501.71
Jul 30, 2022;Jul 31, 2022;380.77;343.49;374.62;380.77;340.12;397.53;368.79;372.34;407.76;251.92;94.82;395.71;394.02;-;436.27;406.70;408.29
Jul 31, 2022;Aug 1, 2022;317.79;281.76;315.85;317.76;317.76;319.51;316.87;313.77;316.95;149.78;68.33;345.93;316.82;-;385.71;316.70;316.09
Aug 1, 2022;Aug 2, 2022;424.62;368.71;399.86;376.83;376.83;454.78;404.33;366.28;431.65;234.53;133.19;450.18;427.33;-;464.81;430.47;430.20
Aug 2, 2022;Aug 3, 2022;380.51;331.64;304.80;331.85;267.03;471.64;333.21;318.43;452.83;240.69;61.54;449.75;416.27;-;483.79;443.63;445.71
Aug 3, 2022;Aug 4, 2022;384.83;317.49;324.60;295.17;277.35;508.48;317.55;292.11;427.55;188.74;4.42;454.66;401.80;-;517.15;426.00;423.37
Aug 4, 2022;Aug 5, 2022;414.16;342.81;395.03;380.11;334.23;482.37;375.70;349.92;427.77;159.40;7.55;445.07;413.81;-;539.78;419.84;420.38
Aug 5, 2022;Aug 6, 2022;380.31;331.44;372.63;362.82;360.05;411.33;371.06;350.41;413.31;187.82;17.94;413.69;384.79;-;532.91;424.00;431.22
Aug 6, 2022;Aug 7, 2022;273.81;238.39;282.36;250.56;202.70;282.40;269.41;267.30;306.61;151.59;5.34;303.66;300.37;-;535.49;328.58;341.36
Aug 7, 2022;Aug 8, 2022;214.92;197.62;214.99;214.92;214.92;215.59;214.14;235.00;216.84;144.37;32.12;255.10;215.82;-;459.71;216.66;216.49
Aug 8, 2022;Aug 9, 2022;359.55;341.39;351.50;359.55;359.55;359.18;358.45;344.29;376.97;248.34;280.02;347.28;370.21;-;477.10;375.35;378.20
Aug 9, 2022;Aug 10, 2022;344.87;336.61;344.06;344.87;344.87;347.71;342.08;338.76;355.93;269.02;301.12;361.40;352.87;-;474.40;360.53;360.16
Aug 10, 2022;Aug 11, 2022;335.08;321.11;329.84;335.08;335.08;336.05;333.00;326.69;342.35;253.86;258.41;342.09;339.81;-;432.58;341.80;342.86
Aug 11, 2022;Aug 12, 2022;368.15;347.67;370.99;368.15;368.15;376.23;368.15;350.69;380.99;226.04;282.70;352.82;379.43;-;486.41;385.15;384.89
Aug 12, 2022;Aug 13, 2022;436.80;413.01;432.60;436.80;436.80;444.91;430.19;410.62;444.47;211.36;431.36;413.10;450.89;-;485.32;456.85;457.09
Aug 13, 2022;Aug 14, 2022;377.74;367.82;361.96;377.74;377.74;396.94;364.62;372.14;412.89;243.88;345.95;397.68;394.42;-;447.33;409.50;407.00
Aug 14, 2022;Aug 15, 2022;330.46;325.89;329.38;329.97;329.32;365.85;318.19;351.04;381.89;157.31;323.07;349.15;349.64;-;402.82;371.19;367.91
Aug 15, 2022;Aug 16, 2022;426.60;386.99;422.57;426.60;409.35;424.64;428.68;403.79;426.93;190.21;283.71;413.17;427.20;-;463.69;426.97;427.17
Aug 16, 2022;Aug 17, 2022;490.79;445.54;421.09;490.79;490.79;500.82;454.79;445.93;490.79;297.77;359.03;496.07;453.02;-;503.87;504.88;500.56
Aug 17, 2022;Aug 18, 2022;551.95;527.00;540.80;551.95;551.95;552.85;539.37;496.99;555.13;368.67;540.47;545.84;553.03;-;538.44;554.24;553.92
Aug 18, 2022;Aug 19, 2022;563.76;532.20;538.49;563.76;563.76;553.62;512.91;532.52;562.53;384.72;521.51;556.14;564.22;-;549.19;562.64;563.48
Aug 19, 2022;Aug 20, 2022;515.10;482.83;504.30;515.10;515.10;509.84;492.24;492.46;516.90;361.36;359.84;527.11;516.88;-;513.93;516.12;517.69
Aug 20, 2022;Aug 21, 2022;457.97;412.05;437.01;457.97;457.97;463.23;456.07;444.53;470.45;360.34;54.99;464.88;465.11;-;515.25;469.46;469.07
Aug 21, 2022;Aug 22, 2022;364.13;359.43;369.34;364.13;364.13;398.20;361.76;367.70;405.38;233.26;292.09;410.40;387.32;-;456.09;400.87;399.29
Aug 22, 2022;Aug 23, 2022;563.81;538.20;561.94;563.81;563.81;571.34;558.23;542.21;564.66;328.68;542.23;559.56;563.70;-;571.33;564.31;563.87
Aug 23, 2022;Aug 24, 2022;605.13;572.70;603.38;605.13;605.13;611.85;603.55;544.15;615.75;387.92;485.82;624.52;612.55;-;610.83;616.26;616.69
Aug 24, 2022;Aug 25, 2022;624.34;577.90;611.97;624.34;624.34;645.54;611.34;570.18;635.52;380.37;397.62;625.09;630.59;-;642.25;635.38;635.68
Aug 25, 2022;Aug 26, 2022;599.83;564.58;588.19;599.83;599.83;630.62;585.85;560.58;628.56;320.80;456.15;624.36;615.56;-;628.99;625.49;625.00
Aug 26, 2022;Aug 27, 2022;699.44;637.08;700.41;699.44;699.44;706.32;693.83;647.13;707.23;352.39;409.82;688.63;703.26;-;724.65;708.01;708.98
Aug 27, 2022;Aug 28, 2022;607.84;555.02;600.25;607.84;607.84;626.79;603.58;595.86;647.86;349.43;272.41;569.25;624.18;-;714.64;647.03;652.28
Aug 28, 2022;Aug 29, 2022;401.03;418.65;408.09;401.00;401.00;488.78;384.54;497.80;545.94;238.52;189.48;586.76;463.27;-;672.66;536.53;542.57
Aug 29, 2022;Aug 30, 2022;658.41;600.97;630.90;658.41;639.02;733.64;630.06;644.88;764.17;218.82;337.41;684.54;668.79;-;751.29;747.99;731.05
Aug 30, 2022;Aug 31, 2022;660.24;622.81;622.63;660.24;660.24;743.84;607.45;660.06;725.98;300.88;457.73;724.87;687.05;-;740.73;732.69;748.97
Aug 31, 2022;Sep 1, 2022;604.49;578.69;516.18;604.49;604.49;651.77;534.47;603.18;673.28;338.22;522.54;682.47;634.55;-;638.11;675.81;690.89
Sep 1, 2022;Sep 2, 2022;571.20;550.84;494.43;571.20;571.20;635.63;534.68;570.49;620.19;315.45;520.42;628.36;597.24;-;676.10;619.08;618.10
Sep 2, 2022;Sep 3, 2022;422.25;437.03;439.48;425.43;425.43;516.69;425.28;433.57;498.05;242.82;420.21;530.26;450.08;-;534.68;504.21;493.95
Sep 3, 2022;Sep 4, 2022;287.75;317.13;330.18;287.75;238.30;416.62;286.35;383.79;383.15;196.57;238.30;427.37;300.02;-;475.52;371.41;358.01
Sep 4, 2022;Sep 5, 2022;242.71;256.86;268.20;242.71;185.74;322.73;250.69;309.32;303.22;128.81;185.74;360.34;267.96;-;395.55;319.61;310.42
Sep 5, 2022;Sep 6, 2022;357.45;377.77;359.78;356.07;343.55;435.82;359.16;390.85;446.36;217.35;370.23;480.01;396.32;-;464.64;447.05;449.36
Sep 6, 2022;Sep 7, 2022;417.27;417.34;439.77;411.40;339.64;523.99;426.85;411.59;516.45;174.30;323.43;553.89;469.42;-;551.45;535.48;531.44
Sep 7, 2022;Sep 8, 2022;462.47;422.86;445.73;457.39;407.63;468.96;443.93;455.68;476.99;143.74;383.89;493.15;474.31;-;483.38;476.34;484.01
Sep 8, 2022;Sep 9, 2022;443.52;383.83;434.92;432.18;285.86;453.38;438.77;434.79;461.02;114.00;285.86;422.23;459.10;-;504.86;464.79;481.41
Sep 9, 2022;Sep 10, 2022;345.70;321.63;345.88;345.70;324.88;347.52;345.08;347.98;362.60;139.18;243.72;372.55;362.84;-;445.64;383.93;384.77
Sep 10, 2022;Sep 11, 2022;404.32;365.16;404.32;404.32;404.32;404.32;404.32;410.41;404.32;183.69;223.15;369.25;404.32;-;425.42;404.32;404.32
Sep 11, 2022;Sep 12, 2022;391.49;365.26;390.61;391.49;391.49;390.94;389.35;403.58;391.49;151.40;358.60;367.31;391.56;-;405.20;391.53;391.64
Sep 12, 2022;Sep 13, 2022;408.03;384.62;407.90;406.66;407.91;416.88;399.68;408.63;419.82;152.16;361.27;426.09;423.76;-;451.57;438.68;436.37
Sep 13, 2022;Sep 14, 2022;392.37;351.96;414.90;370.44;360.72;444.21;401.16;383.39;421.18;160.71;66.05;420.84;427.92;-;457.52;448.82;448.65
Sep 14, 2022;Sep 15, 2022;455.81;379.24;441.01;426.70;407.30;461.38;417.30;422.94;455.47;136.20;93.38;452.85;457.10;-;468.81;458.07;458.49
Sep 15, 2022;Sep 16, 2022;369.37;343.94;395.96;355.79;355.79;436.56;372.36;361.13;397.70;156.78;118.75;452.17;380.37;-;450.41;402.35;397.79
Sep 16, 2022;Sep 17, 2022;201.20;256.47;245.09;201.20;201.20;399.00;205.82;317.59;365.48;101.75;98.04;423.13;262.91;-;485.56;396.70;379.13
Sep 17, 2022;Sep 18, 2022;68.77;159.51;97.65;68.77;70.72;225.86;100.78;256.65;294.04;142.24;50.44;291.70;155.76;-;373.71;268.98;261.01
Sep 18, 2022;Sep 19, 2022;77.93;129.94;138.24;78.44;78.48;199.95;124.82;112.37;175.92;111.52;77.58;233.87;98.20;-;304.22;156.26;132.39
Sep 19, 2022;Sep 20, 2022;261.68;259.02;274.01;261.68;261.68;315.65;266.68;273.87;284.16;157.05;168.08;317.65;268.72;-;371.29;289.11;276.76
Sep 20, 2022;Sep 21, 2022;363.42;341.17;342.07;363.42;363.42;377.66;350.43;368.20;364.98;196.11;278.40;382.77;365.42;-;393.98;372.25;367.25
Sep 21, 2022;Sep 22, 2022;379.94;356.35;357.08;379.94;379.94;381.03;348.83;377.05;380.96;189.50;354.72;389.19;381.56;-;398.03;381.92;382.14
Sep 22, 2022;Sep 23, 2022;387.89;363.59;377.64;387.89;387.89;408.96;383.93;370.46;399.17;198.30;284.39;406.19;394.69;-;417.71;413.00;398.62
Sep 23, 2022;Sep 24, 2022;368.33;344.20;368.78;368.33;368.33;399.15;371.59;351.73;362.04;201.38;247.06;377.84;369.95;-;428.21;409.83;385.68
Sep 24, 2022;Sep 25, 2022;351.11;325.22;351.79;351.11;351.11;353.21;350.44;342.21;344.43;210.42;204.02;369.64;349.07;-;376.12;370.90;370.04
Sep 25, 2022;Sep 26, 2022;276.50;258.79;266.58;276.50;276.50;272.83;248.07;292.63;277.48;171.93;187.90;299.28;277.02;-;323.94;279.03;278.54
Sep 26, 2022;Sep 27, 2022;245.93;250.68;240.95;245.93;245.93;277.29;246.51;248.91;315.97;186.03;118.63;331.93;299.45;-;347.98;328.31;336.09
Sep 27, 2022;Sep 28, 2022;310.21;274.57;269.73;310.21;310.21;350.21;282.89;296.49;312.91;181.08;47.89;340.97;317.68;-;413.35;359.66;339.65
Sep 28, 2022;Sep 29, 2022;386.20;334.20;377.06;386.20;386.20;392.86;379.51;297.94;385.71;196.90;66.48;420.31;387.07;-;392.86;385.83;388.72
Sep 29, 2022;Sep 30, 2022;417.14;371.62;397.07;405.64;417.14;464.85;405.64;330.61;421.77;229.41;164.10;431.27;420.28;-;464.85;430.63;425.25
Sep 30, 2022;Oct 1, 2022;315.49;297.98;278.35;314.10;315.49;346.97;295.48;276.70;349.22;184.25;192.92;370.06;354.24;-;398.99;360.73;370.63
Oct 1, 2022;Oct 2, 2022;82.82;124.48;102.36;82.84;82.82;123.46;123.55;86.07;189.10;142.06;54.69;242.60;139.72;-;252.66;220.13;248.07
Oct 2, 2022;Oct 3, 2022;114.75;147.01;182.74;114.78;114.78;196.27;189.59;166.87;131.23;76.39;99.05;219.75;125.67;-;208.98;149.89;136.06
Oct 3, 2022;Oct 4, 2022;209.35;232.45;276.44;209.35;209.35;287.71;325.54;219.81;219.41;103.34;195.58;282.80;227.59;-;354.80;258.94;242.73
Oct 4, 2022;Oct 5, 2022;246.31;231.40;219.37;217.67;242.02;296.60;232.59;194.38;277.37;156.86;161.24;298.47;248.87;-;353.30;304.09;312.27
Oct 5, 2022;Oct 6, 2022;103.19;126.59;143.12;48.90;49.15;221.83;139.90;50.49;189.92;129.21;29.74;215.17;175.07;-;292.74;268.22;258.73
Oct 6, 2022;Oct 7, 2022;100.80;120.03;185.64;21.40;21.83;255.95;103.24;22.11;202.34;101.81;4.28;235.35;166.35;-;254.39;244.11;218.20
Oct 7, 2022;Oct 8, 2022;163.89;131.08;167.42;27.28;29.99;271.94;147.52;27.84;186.93;132.37;7.72;267.96;174.90;-;273.20;215.03;212.13
Oct 8, 2022;Oct 9, 2022;145.34;125.51;140.66;48.34;46.56;215.21;151.35;48.80;187.90;131.73;7.46;240.81;161.81;-;293.61;234.16;203.50
Oct 9, 2022;Oct 10, 2022;146.72;127.43;156.43;118.20;118.20;168.46;151.78;89.20;160.04;99.10;11.47;176.71;152.14;-;208.26;169.13;175.90
Oct 10, 2022;Oct 11, 2022;162.09;153.74;180.41;151.50;140.34;208.06;175.07;129.73;194.31;101.16;10.83;221.56;178.18;-;283.28;228.44;198.90
Oct 11, 2022;Oct 12, 2022;259.87;215.34;259.18;241.35;241.44;269.77;256.06;165.10;265.49;149.04;9.03;251.74;260.50;-;284.81;294.45;297.21
Oct 12, 2022;Oct 13, 2022;282.54;250.52;278.85;281.61;282.54;287.46;254.63;192.75;282.35;200.66;127.94;283.10;283.79;-;290.96;289.12;286.06
Oct 13, 2022;Oct 14, 2022;257.46;228.37;258.43;257.46;257.46;259.90;252.20;222.75;259.55;147.63;89.17;252.47;255.07;-;273.93;269.81;274.56
Oct 14, 2022;Oct 15, 2022;260.65;236.22;255.45;260.65;260.65;260.47;251.59;209.87;261.03;172.52;150.90;258.05;257.19;-;267.06;262.48;260.48
Oct 15, 2022;Oct 16, 2022;156.63;147.52;156.05;155.78;155.78;159.17;155.86;154.43;175.54;148.00;32.28;168.27;161.61;-;214.50;184.66;193.07
Oct 16, 2022;Oct 17, 2022;95.86;99.24;113.07;93.59;65.47;125.32;106.09;107.05;132.53;106.12;17.94;123.72;100.79;-;184.48;146.76;141.13
Oct 17, 2022;Oct 18, 2022;152.61;152.19;159.99;150.14;152.61;174.30;151.61;140.95;170.53;145.18;79.49;182.17;167.08;-;218.16;192.24;188.65
Oct 18, 2022;Oct 19, 2022;183.18;167.65;171.55;167.03;183.18;191.12;166.12;158.81;195.46;154.85;68.15;196.24;191.66;-;217.83;223.94;211.85
Oct 19, 2022;Oct 20, 2022;168.45;153.16;146.26;168.45;168.45;159.01;129.46;153.91;168.08;137.28;119.42;164.05;170.44;-;176.32;173.83;172.63
Oct 20, 2022;Oct 21, 2022;140.22;140.54;120.08;138.44;138.64;142.56;125.59;136.56;161.97;148.49;117.76;150.52;165.33;-;201.94;182.76;180.71
Oct 21, 2022;Oct 22, 2022;163.45;156.32;149.67;163.45;163.45;158.13;148.37;150.90;169.08;146.59;124.15;168.83;176.90;-;198.37;188.44;185.04
Oct 22, 2022;Oct 23, 2022;139.87;136.27;123.59;139.87;139.87;129.81;132.89;137.61;145.83;163.86;103.50;136.07;146.07;-;145.55;145.66;148.78
Oct 23, 2022;Oct 24, 2022;95.75;94.90;91.10;95.75;95.75;87.37;95.06;98.54;103.21;114.54;63.38;97.41;101.83;-;106.02;110.44;106.41
Oct 24, 2022;Oct 25, 2022;80.62;95.08;69.09;80.06;80.62;87.51;77.91;81.92;135.81;137.25;71.70;91.90;132.17;-;140.18;171.82;189.01
Oct 25, 2022;Oct 26, 2022;105.40;107.95;99.49;103.24;104.08;110.06;98.79;104.87;123.97;137.40;72.35;101.43;131.73;-;131.57;144.54;147.93
Oct 26, 2022;Oct 27, 2022;121.40;117.76;96.25;121.08;121.40;110.87;93.92;116.93;128.33;139.09;108.43;123.76;135.29;-;128.43;159.11;153.61
Oct 27, 2022;Oct 28, 2022;124.69;120.47;119.78;123.88;124.69;121.67;122.45;113.64;129.48;147.90;65.01;115.89;140.83;-;161.06;174.42;169.86
Oct 28, 2022;Oct 29, 2022;105.52;105.82;101.03;104.45;104.26;108.53;101.68;99.79;117.31;135.47;64.30;108.85;118.34;-;134.51;132.46;136.49
Oct 29, 2022;Oct 30, 2022;101.06;90.86;96.91;100.56;84.50;98.56;97.93;98.61;103.25;103.15;14.35;99.78;101.83;-;100.10;103.34;103.34
Oct 30, 2022;Oct 31, 2022;116.54;110.94;116.56;116.54;116.54;116.62;116.54;113.81;116.64;115.77;78.24;96.60;116.49;-;112.12;117.23;116.37
Oct 31, 2022;Nov 1, 2022;145.22;142.73;143.89;145.22;145.22;144.24;144.32;139.79;146.58;137.60;138.87;138.86;145.44;-;145.11;147.64;145.78
Nov 1, 2022;Nov 2, 2022;68.85;89.27;70.47;68.74;68.85;90.42;70.42;70.32;118.36;109.76;60.25;138.16;116.21;-;108.73;132.15;130.18
